date,Gr2,Gr4,Gr8,Gr12,Gr13,Gr20,Gr22,precip,fraction,moon_hours,MinC,MaxC
3/1/2020,4,2,6,9,4,21,22,0.028074037,0.353187104,4.378055556,13.8,25.1
3/2/2020,3,3,7,14,10,22,24,3.5265584,0.451163431,4.705555556,4.1,24.6
3/3/2020,0,0,5,7,9,20,20,7.39116144,0.553807309,5.265277778,7.3,26.6
3/4/2020,5,3,12,10,12,23,23,0.026694948,0.656840627,6.190555556,6.3,24.7
3/5/2020,6,3,6,10,6,20,22,0,0.755214515,7.154166667,11.8,33.8
3/6/2020,8,3,13,10,3,22,22,0,0.843403922,8.110277778,12.8,26.3
3/7/2020,0,0,0,0,0,21,21,0,0.915862484,9.048611111,7.2,25.2
3/8/2020,2,3,3,1,1,19,13,2.1684227,0.967577429,9.645277778,1.7,26.8
3/9/2020,0,0,0,0,0,14,11,18.6511688,0.994637242,9.640833333,6.9,24.8
3/10/2020,0,0,0,0,0,8,11,29.1899185,0.994716873,9.636666667,10.2,26.3
3/11/2020,0,0,0,0,1,16,12,10.4878149,0.967397459,8.748055556,2.5,23.4
3/12/2020,0,0,0,0,0,19,13,1.52837169,0.914265289,7.841111111,4.9,26.8
3/13/2020,0,0,0,1,1,21,16,34.8763275,0.838770947,6.911388889,4.9,20
3/14/2020,0,0,0,0,1,19,14,0.328349411,0.745867875,5.954166667,-2.4,19.5
3/15/2020,0,0,2,6,4,12,12,0,0.641485079,4.985833333,7.6,24.1
3/16/2020,5,2,6,13,12,22,23,0,0.53191646,4.871111111,4.6,16.8
3/17/2020,4,1,9,18,10,22,22,0,0.423223406,4.016666667,7.9,29.4
3/18/2020,5,3,11,15,13,22,22,0.069877431,0.320742572,3.083888889,6.3,20.6
3/19/2020,4,5,11,17,12,23,23,3.12350154,0.228766136,2.197777778,6.8,22.7
3/20/2020,0,0,4,17,6,23,23,39.8947144,0.150422638,1.378888889,1.2,22.9
3/21/2020,0,0,1,17,1,21,22,2.65760136,0.087743414,0.613611111,1.6,24.7
3/22/2020,6,4,9,15,8,22,23,0,0.041864504,0,10.6,21.5
3/23/2020,0,0,4,1,4,23,24,15.0013895,0.013294447,0,5.5,20.6
3/24/2020,0,0,3,5,5,21,21,7.92123127,0.00217637,0,0.6,21.6
3/25/2020,1,2,6,5,10,22,22,6.09702492,0.008484671,0.034166667,0.7,22.6
3/26/2020,1,3,10,10,12,21,22,7.50907421,0.03211663,0.772222222,7.7,18.6
3/27/2020,4,2,14,11,15,22,22,0.006681533,0.072862603,1.524166667,13.2,20
3/28/2020,3,3,13,14,13,24,22,0,0.130262212,2.317222222,7,22.6
3/29/2020,5,3,12,7,10,23,23,0,0.203376698,3.176111111,11,22
3/30/2020,0,0,9,8,3,19,18,1.78283072,0.290527729,4.081666667,10,23.5
3/31/2020,4,3,2,10,10,24,21,2.12198544,0.389067225,4.769444444,6,27.1
4/1/2020,5,2,11,9,12,23,24,15.2847767,0.495246517,5.032222222,8.5,23.3
4/2/2020,5,2,15,16,10,22,23,0.529204071,0.604242401,5.990277778,7.8,21.9
4/3/2020,5,4,9,14,5,25,23,0.345550776,0.710371637,6.935833333,1.8,20.9
4/4/2020,5,3,9,19,4,23,22,0.416680932,0.807488535,7.850277778,13.5,26
4/5/2020,4,2,8,20,10,24,23,1.13424933,0.889521437,8.722222222,9.6,21.3
4/6/2020,0,0,12,14,9,22,23,16.6974144,0.951073055,9.474444444,10.8,23
4/7/2020,2,2,6,18,7,22,23,14.4918795,0.987993832,9.466944444,7.9,19
4/8/2020,0,0,2,11,4,23,16,0.753500462,0.997838917,9.459444444,8.6,23.9
4/9/2020,5,2,3,19,2,22,22,5.15196323,0.980135892,8.860833333,7.5,16.7
4/10/2020,2,1,4,14,4,22,21,10.3170338,0.936418749,7.909166667,3.1,21.5
4/11/2020,0,0,1,19,10,24,22,24.9072361,0.870020231,6.943333333,3.8,18
4/12/2020,0,0,7,18,9,23,23,11.2241478,0.785655404,5.97,9.3,21.1
4/13/2020,4,3,9,17,6,22,22,1.82433057,0.688867186,5.021111111,-2.8,23.6
4/14/2020,2,2,14,21,6,23,24,0.144980386,0.585430173,4.63,3.7,18.3
4/15/2020,1,1,11,20,5,22,23,0,0.480813882,4.1,11.6,23.6
4/16/2020,1,3,12,22,7,21,23,0.117963314,0.379787694,3.253888889,12.6,21.1
4/17/2020,0,1,12,23,13,21,24,0,0.286212394,2.462777778,7.5,19.6
4/18/2020,0,1,2,11,8,22,20,1.52798629,0.20301906,1.722222222,3,21.2
4/19/2020,0,0,3,16,4,23,22,10.8093519,0.1323375,1.032222222,7.5,21.8
4/20/2020,3,3,4,17,7,28,20,1.05674887,0.075712434,0.3775,7,21.3
4/21/2020,0,0,4,18,6,23,23,1.18716526,0.03433833,0,6.8,17.6
4/22/2020,0,0,13,16,6,20,18,4.52081108,0.009250456,0,10.5,22.9
4/23/2020,1,2,11,17,9,25,23,7.24305916,0.001425388,0,4.6,20.3
4/24/2020,2,3,12,20,12,24,24,0.157749727,0.011764614,0.221944444,8.1,26.5
4/25/2020,1,1,9,19,10,24,23,0.062242564,0.04095766,1.051944444,11.8,15
4/26/2020,4,4,10,19,5,23,23,1.65329456,0.08924494,1.935,8.6,22.9
4/27/2020,0,1,10,16,9,22,21,2.11768365,0.156123547,2.864444444,6.6,23
4/28/2020,3,4,3,11,4,21,19,16.0773087,0.240057753,3.818888889,6.8,20
4/29/2020,0,0,0,8,5,22,19,19.3326817,0.338264979,4.765555556,3.9,19.9
4/30/2020,0,0,0,4,1,22,15,1.59844458,0.446642795,4.764166667,11.5,19.2
